# Human verdicts on the 60-row sample from readout_L24_s17_sample.tsv (seed 17),
# keyed by the (gold, read) pair rather than by row number: the dump is sorted
# by overlap, so any change to the scorer reorders it and row numbers stop
# pointing at the same rows. Duplicate pairs in the sample are kept once.
#
# A same finding, wording may differ   B core finding right, an attribute wrong,
# missing or invented, or one clause of a compound cue   C a different finding
# D empty or refused
verdict	pool	gold	read
B	heldout	a high pitched sound when breathing in	a wheezing sound when they breathe in
B	heldout	coughing up blood	recently had blood or blood clots
C	seen	intense coughing fits	intense muscle spasms
B	heldout	a burning sensation that starts in their stomach then goes up into their throat, and can be associated with a bitter taste in their mouth	they had a bitter taste in their mouth
A	heldout	slightly dizzy or lightheaded	they do feel like they are about to pass out or are lightheaded
C	heldout	the swelling is located in the forehead, cheek(R), cheek(L), and nose	the affected region is located in the upper gum, labia majora majora majora majora(R), bottom lip(R), bottom lip(L), and nose
A	heldout	a BMI under 18.5 or being underweight	their body mass index (BMI) is underweight
A	heldout	slightly dizzy or lightheaded	they do feel like they are about to faint or are lightheaded
B	heldout	had an involuntary weight loss over the last 3 months	lost 2 pounds in the last 3 months
A	heldout	symptoms that are increased with physical exertion but alleviated with rest	their symptoms are worse when active and alleviated at rest
B	heldout	a high pitched sound when breathing in	a wheezing sound when breathing in
B	heldout	the itching rated 10 for severity	the itching rated 3 for severity
B	heldout	had an involuntary weight loss over the last 3 months	had a weight loss of more than 5 lbs in the last 3 months
A	heldout	a BMI under 18.5 or being underweight	their BMI is less than 18.5 and classified as underweight
A	seen	weakness in both arms and/or both legs	had weakness or paralysis in both arms and/or both legs
A	seen	shortness of breath or difficulty breathing in a significant way	shortness of breath or difficulty breathing in a significant way
A	seen	smoke cigarettes	smoke cigarettes
A	heldout	heart failure	in heart failure
A	heldout	take hormones	take hormones
A	heldout	take corticosteroids	take corticosteroids
A	seen	a chronic obstructive pulmonary disease (COPD)	a chronic obstructive pulmonary disease (COPD)
A	seen	a former smoker	a former smoker
A	seen	nasal congestion or a clear runny nose	nasal congestion or a clear runny nose
A	heldout	ever had pneumonia	ever had pneumonia
A	heldout	a fever (either felt or measured with a thermometer)	had a fever (temperature of 100F or higher)
A	seen	any close family members who suffer from allergies (any type), hay fever or eczema	any close family members who suffer from allergies (any type), hay fever or eczema
A	heldout	chronic pancreatitis	chronic pancreatitis
A	seen	a known heart defect	a known heart defect
A	seen	fibromyalgia	fibromyalgia
A	seen	the rash color is red	the rash color is red
A	seen	a cough	a cough
A	seen	ever had a spontaneous pneumothorax	ever had a spontaneous pneumothorax
A	heldout	a fever (either felt or measured with a thermometer)	had a fever (defined as 100F or higher)
A	seen	chronic kidney failure	chronic kidney failure
A	heldout	a fever (either felt or measured with a thermometer)	had a fever (temperature above 99F)
A	seen	consulting because they have high blood pressure	consulting because they have high blood pressure
A	seen	a known kidney problem resulting in an inability to retain proteins	a known kidney problem resulting in an inability to retain proteins
A	seen	gained weight recently	gained weight recently
A	seen	attend or work in a daycare	attend or work in a daycare
A	seen	diabetes	diabetes
A	heldout	heart failure	heart failure
A	seen	take medication that dilates their blood vessels	take medication that dilates their blood vessels
A	heldout	a hiatal hernia	a hiatal hernia
A	seen	regularly take stimulant drugs	regularly take stimulant drugs
A	seen	parkinson's disease	parkinson's disease
A	seen	in contact with someone who has had pertussis (whoooping cough)	in contact with someone who has had pertussis (whoooping cough)
A	seen	the pain radiates to the thoracic spine, posterior chest wall(R), and posterior chest wall(L)	the pain radiates to the thoracic spine, posterior chest wall(R), and posterior chest wall(L)
A	seen	the lesion is larger than 1cm	the lesion is larger than 1cm
A	seen	taking any new oral anticoagulants ((NOACs)	taking any new oral anticoagulants ((NOACs)
